	number	user_login	created_at	closed_at	merged_at	title
100	408	thockin	2018-04-06 15:52:14	2019-02-26 02:11:24	2019-02-26 02:11:24	Use k8s GCR vanity URL
101	406	Liujingfang1	2018-04-05 23:09:17	2018-04-06 22:00:09	2018-04-06 22:00:09	Add logging for replacing and merging configmap and secrets
102	405	Liujingfang1	2018-04-05 22:28:52	2018-04-09 22:25:10	2018-04-09 22:25:10	Add springboot example demo
103	404	monopole	2018-04-04 21:00:39	2018-04-04 21:53:10	2018-04-04 21:53:10	Remove the -f option of inflate
104	403	droot	2018-04-04 17:42:57	2018-04-04 18:12:09	2018-04-04 18:12:09	kinflate: remove prune field from the manifest
105	402	monopole	2018-04-04 17:17:52	2018-04-04 20:31:09	2018-04-04 20:31:09	some wording tweaks
106	395	droot	2018-04-03 23:51:47	2018-04-04 17:44:09	2018-04-04 17:44:09	kinflate: add build automation
107	394	Liujingfang1	2018-04-03 23:19:08	2018-04-04 22:21:10	2018-04-04 22:21:10	change ConfigMap to ConfigMapGenerator
108	393	Liujingfang1	2018-04-03 22:58:32	2018-04-03 23:32:07	2018-04-03 23:32:07	Add different behavior for secretGenerator in overlay
109	390	droot	2018-04-03 00:10:27	2018-04-03 02:42:05	2018-04-03 02:42:05	kinflate: added version command
110	389	monopole	2018-04-02 23:16:41	2018-04-03 19:37:52	2018-04-03 19:37:52	add workflow figs
111	388	monopole	2018-04-02 19:00:34	2018-04-02 20:50:14	2018-04-02 20:50:14	Add glossary
112	387	droot	2018-03-30 23:06:46	2018-03-30 23:21:04	2018-03-30 23:21:04	integrated glog in command structure
113	383	jberkhahn	2018-03-28 21:13:57	2018-04-03 18:36:08	2018-04-03 18:36:08	Return rest config and regular config  from pluginutil Init method
114	382	monopole	2018-03-28 20:11:29	2018-03-28 20:23:03	2018-03-28 20:23:03	combine demos into a subdir
115	381	monopole	2018-03-28 00:10:29	2018-03-28 00:13:42	2018-03-28 00:13:42	renameDemos
116	380	monopole	2018-03-27 23:21:56	2018-03-27 23:29:10	2018-03-27 23:29:10	newshortdemo
117	379	monopole	2018-03-27 20:20:59	2018-03-27 21:15:52	2018-03-27 21:15:52	A new hello-world demo.
118	377	mengqiy	2018-03-27 00:54:09	2018-03-28 19:26:05	2018-03-28 19:26:05	detect unknown fields in Kube-manifest.yaml
119	375	mengqiy	2018-03-23 22:21:50	2018-04-09 22:28:09	2018-04-09 22:28:09	Conflict detection in kinflate
120	373	Liujingfang1	2018-03-23 21:17:40	2018-04-03 22:38:08	2018-04-03 22:38:08	Add different behavior for configmaps in overlay
121	372	mengqiy	2018-03-23 17:20:54	2018-03-23 18:07:04	2018-03-23 18:07:04	update vendor apimachinery
122	370	mengqiy	2018-03-22 21:10:33	2018-03-23 15:41:02	2018-03-23 15:41:02	support multiple patches for the same GVKN
123	368	droot	2018-03-22 18:30:28	2018-04-11 20:34:56	2018-04-11 20:34:56	updated namereference config for missing references.
124	367	Liujingfang1	2018-03-22 16:33:49	2018-03-26 23:14:02	2018-03-26 23:14:02	change packages to bases in Manifest
125	366	mengqiy	2018-03-22 00:22:45	2018-07-31 18:37:56		Integrate openapi
126	362	apelisse	2018-03-20 22:17:48	2018-03-20 22:40:01	2018-03-20 22:40:01	"selectors: Remove ""Map"" and ""Slice"""
127	360	apelisse	2018-03-19 17:16:57	2018-03-19 21:45:01	2018-03-19 21:45:01	predicates: Rename Value into Interface
128	359	apelisse	2018-03-19 16:21:08	2018-03-19 16:54:02	2018-03-19 16:54:02	unstructpath: Move predicates to their own package
129	358	a8uhnf	2018-03-19 04:55:44	2018-12-17 07:14:11		Fix label test in documentation appropriately
